LID , TYPE , CA , NP , PD
I:/Project/BHLU/ReclassTo3/FID_28/year_1992.img , cls_2 , 7185852.8989 ,   61746.0000 ,       0.0402
I:/Project/BHLU/ReclassTo3/FID_28/year_1992.img , cls_3 ,  285726.4607 ,    3450.0000 ,       0.0022
I:/Project/BHLU/ReclassTo3/FID_28/year_2015.img , cls_1 , 145673285.5919 ,    4320.0000 ,       0.0028
I:/Project/BHLU/ReclassTo3/FID_28/year_2015.img , cls_2 , 7421146.7798 ,   61931.0000 ,       0.0403
I:/Project/BHLU/ReclassTo3/FID_28/year_2015.img , cls_3 ,  477493.3153 ,    4981.0000 ,       0.0032
I:/Project/BHLU/ReclassTo3/FID_29/year_1992.img , cls_2 , 5480372.7444 ,   14492.0000 ,       0.0531
I:/Project/BHLU/ReclassTo3/FID_29/year_1992.img , cls_1 , 21759122.3147 ,    5790.0000 ,       0.0212
I:/Project/BHLU/ReclassTo3/FID_29/year_1992.img , cls_3 ,   55541.6980 ,     735.0000 ,       0.0027
I:/Project/BHLU/ReclassTo3/FID_29/year_2015.img , cls_2 , 5117346.4551 ,   14318.0000 ,       0.0525
I:/Project/BHLU/ReclassTo3/FID_29/year_2015.img , cls_1 , 22076983.1393 ,    5576.0000 ,       0.0204
I:/Project/BHLU/ReclassTo3/FID_29/year_2015.img , cls_3 ,  100707.1626 ,    1123.0000 ,       0.0041
I:/Project/BHLU/ReclassTo3/FID_30/year_1992.img , cls_1 , 24013885.1603 ,   11064.0000 ,       0.0330
I:/Project/BHLU/ReclassTo3/FID_30/year_1992.img , cls_2 , 9398229.9077 ,   13240.0000 ,       0.0394
I:/Project/BHLU/ReclassTo3/FID_30/year_1992.img , cls_3 ,  155713.4174 ,    2271.0000 ,       0.0068
I:/Project/BHLU/ReclassTo3/FID_30/year_2015.img , cls_1 , 24411871.9767 ,   10923.0000 ,       0.0325
I:/Project/BHLU/ReclassTo3/FID_30/year_2015.img , cls_2 , 8902384.4556 ,   13677.0000 ,       0.0407
